elementos,bubleSort,insertionSort,selectionSort
10000,76.6693795,9.6939599,35.5011934
20000,261.1523903,20.9354683,91.0391661
30000,613.4485479,59.8069267,215.3248814
40000,1143.0848391,91.4501858,384.7915897
50000,1732.0539867,144.8165719,580.7213127
60000,2464.9857292,213.702413,822.9333161
70000,3327.9146048,275.8619675,1202.8326354
80000,4344.5590377,358.0240981,1560.7558648
90000,5506.8353989,449.9653849,1903.2023148
100000,6794.1455985,569.760387,2404.0860285
110000,8236.9891957,677.401233,2814.1097796
120000,9798.6436331,802.0921516,3402.9063205
130000,11541.8498565,950.7324908,3948.0003537
140000,13351.5640786,1080.5607932,4494.7665452
150000,15443.1841089,1253.4579824,5967.7165401
